0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,381.0914352009105,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,427.75097695662674,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,410.51975534567714,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,647.7907491778878,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,502.4921933229328,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,277.5504841454454,inf,inf,inf,inf,inf,inf,620.0812084960929,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,363.51079125380977,427.032111126836,inf,inf,inf,inf,inf,inf,inf,inf,602.8959044270571,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,546.3570620984456,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,577.277056110941
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,489.2390089442373,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,490.7807347133118,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,470.5645192216232,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,427.75097695662674,502.4921933229328,inf,inf,inf,0.0,inf,inf,inf,inf,604.1264739202528,392.2154890906482,inf,inf,inf,510.829982776468,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,513.1293845629434,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,490.7807347133118,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,558.9700141844028,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,471.2698448930587,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,292.32769195131436,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,361.0951525787278,inf,inf,inf,inf,inf,inf,inf,inf,inf,626.2537671337059,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,363.51079125380977,inf,inf,604.1264739202528,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,434.67053489799764,inf
inf,inf,inf,inf,inf,inf,inf,inf,603.4853285572075,inf,inf,inf,inf,inf,inf,inf,555.954412280122,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,427.032111126836,inf,inf,392.2154890906482,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,571.8128967889277,inf,inf,inf,inf,inf
